BWN, 0.00030959
MAH, 0.000309179
PNR, 0.000308596
YAT, 0.000308198
MUA, 0.00030819
DSM, 0.000307949
TPS, 0.000307166
GSP, 0.000306617
LIT, 0.000306577
UFA, 0.00030628
FDF, 0.000305679
CZX, 0.000305671
SZG, 0.000305273
UDI, 0.000305023
TUL, 0.000304777
ROC, 0.000304774
FNA, 0.000303577
VIX, 0.000303502
HMO, 0.000303494
LIR, 0.000303154
WRO, 0.000302108
KLG, 0.000301577
SCQ, 0.000300646
THU, 0.000300296
VVC, 0.000300158
ORK, 0.000299634
SWA, 0.000299605
BFS, 0.000299469
PSP, 0.000298095
LST, 0.000298072
YNA, 0.000297804
ADE, 0.000297478
MGQ, 0.000297152
LFW, 0.000297058
NYO, 0.000297011
ONT, 0.000296509
YTZ, 0.000295642
IEV, 0.000295562
SSB, 0.000294486
CKX, 0.000294486
GCW, 0.000294486
SPB, 0.000294486
BLD, 0.000294486
TKJ, 0.000294486
DHB, 0.000294129
TBZ, 0.000293987
BDO, 0.000293446
RMQ, 0.000293429
JHB, 0.000292805
BTT, 0.000291797
YCB, 0.000290695
YPX, 0.000290627
AGA, 0.000290581
MPA, 0.00028969
NDU, 0.00028969
EXT, 0.000287782
WBB, 0.00028685
ALF, 0.000285637
TGU, 0.000284794
AKP, 0.000284593
PVD, 0.000283766
SRZ, 0.000282456
KTW, 0.000282004
NAT, 0.000281709
GSO, 0.000281345
NLA, 0.000279116
LRE, 0.000278837
MRV, 0.000278569
AZI, 0.000276307
YYQ, 0.000275992
SYR, 0.000275674
KOA, 0.000275576
SLZ, 0.000273706
ZSJ, 0.000272611
SKK, 0.000272198
EEK, 0.000271485
ZKE, 0.000270921
SNN, 0.000270089
ANF, 0.00026998
ASP, 0.000269825
YIF, 0.000269222
TJA, 0.00026777
PNP, 0.000267568
MAR, 0.000267472
CUZ, 0.000267425
AKI, 0.000266273
XNA, 0.000265882
YTH, 0.000265788
MKW, 0.000265672
LOP, 0.000265369
ZNZ, 0.000265353
ADZ, 0.000265126
UVE, 0.000264732
TGJ, 0.000264732
RCE, 0.000264493
FBM, 0.00026442
GUR, 0.00026422
YFH, 0.000264177
MNG, 0.000263993
YHR, 0.000263637
LLW, 0.0002631
YEK, 0.000262949
VPE, 0.000262369
NQN, 0.000262348
MAB, 0.000261959
ARH, 0.00026159
KKI, 0.000261414
PKU, 0.000261201
KGX, 0.000261056
TLT, 0.000261056
CMA, 0.000260743
NHV, 0.000260091
AUQ, 0.000260091
PQS, 0.000259773
WWK, 0.000259709
VEE, 0.00025968
DVO, 0.000259015
CBR, 0.000258902
YGT, 0.000258278
