node: CWL, pagerank: 0.00032215
node: ONT, pagerank: 0.000321968
node: CZX, pagerank: 0.000321537
node: PNP, pagerank: 0.000320946
node: VEE, pagerank: 0.000320941
node: TXN, pagerank: 0.000319413
node: REL, pagerank: 0.000318641
node: KPN, pagerank: 0.000318559
node: ASP, pagerank: 0.000317944
node: GSE, pagerank: 0.000317277
node: DAY, pagerank: 0.00031669
node: LUV, pagerank: 0.000316466
node: SYR, pagerank: 0.000315228
node: BOB, pagerank: 0.000314489
node: MRV, pagerank: 0.000313122
node: MDK, pagerank: 0.000312759
node: ADZ, pagerank: 0.00031256
node: YPX, pagerank: 0.000312339
node: PMC, pagerank: 0.000311939
node: BJV, pagerank: 0.000311389
node: TTN, pagerank: 0.000311254
node: YAT, pagerank: 0.00031091
node: BAV, pagerank: 0.000310631
node: MPL, pagerank: 0.000310552
node: PTP, pagerank: 0.000309692
node: SCQ, pagerank: 0.000309478
node: KLG, pagerank: 0.000309121
node: YXS, pagerank: 0.000309053
node: TMM, pagerank: 0.000308917
node: FBM, pagerank: 0.000306337
node: YHR, pagerank: 0.000306286
node: PAP, pagerank: 0.000306184
node: FMM, pagerank: 0.000306159
node: PZO, pagerank: 0.000305921
node: YIF, pagerank: 0.000305131
node: NHV, pagerank: 0.000304718
node: AUQ, pagerank: 0.000304718
node: EMK, pagerank: 0.000304604
node: PIK, pagerank: 0.000303943
node: KBL, pagerank: 0.000303919
node: UDI, pagerank: 0.000303662
node: VPE, pagerank: 0.000303595
node: MGQ, pagerank: 0.000303583
node: MKW, pagerank: 0.00030269
node: BTT, pagerank: 0.000302523
node: GBE, pagerank: 0.000302488
node: OMS, pagerank: 0.000302313
node: SUF, pagerank: 0.000302288
node: YFH, pagerank: 0.000301682
node: STM, pagerank: 0.000301397
node: RNO, pagerank: 0.000301203
node: THU, pagerank: 0.000300645
node: HYL, pagerank: 0.000299413
node: SZG, pagerank: 0.000299322
node: PQS, pagerank: 0.00029788
node: CCV, pagerank: 0.000297783
node: PNQ, pagerank: 0.00029772
node: ZSJ, pagerank: 0.000297364
node: TGU, pagerank: 0.000296985
node: MNG, pagerank: 0.000296184
node: MDL, pagerank: 0.000296152
node: LRE, pagerank: 0.000295947
node: VIX, pagerank: 0.000294789
node: GCW, pagerank: 0.000294731
node: SPB, pagerank: 0.000294731
node: TKJ, pagerank: 0.000294731
node: SSB, pagerank: 0.000294731
node: BLD, pagerank: 0.000294731
node: CKX, pagerank: 0.000294731
node: AZI, pagerank: 0.000294725
node: DHB, pagerank: 0.000294373
node: XNA, pagerank: 0.000293512
node: RFP, pagerank: 0.000290868
node: KTS, pagerank: 0.000290789
node: TJA, pagerank: 0.000290263
node: MPA, pagerank: 0.00028993
node: NDU, pagerank: 0.00028993
node: GOJ, pagerank: 0.000289219
node: GSO, pagerank: 0.000289022
node: YHI, pagerank: 0.000288704
node: YCB, pagerank: 0.000288285
node: BRC, pagerank: 0.000286756
node: BHD, pagerank: 0.000286678
node: GUR, pagerank: 0.000286543
node: YTS, pagerank: 0.000285855
node: MMX, pagerank: 0.000284272
node: AKP, pagerank: 0.000283996
node: RSH, pagerank: 0.000283355
node: KOA, pagerank: 0.00028314
node: BDJ, pagerank: 0.000282732
node: KUN, pagerank: 0.000282413
node: EGM, pagerank: 0.000282406
node: SRG, pagerank: 0.000282401
node: XMH, pagerank: 0.000282283
node: MIG, pagerank: 0.000282283
node: BUR, pagerank: 0.000282059
node: BME, pagerank: 0.000280938
node: CZL, pagerank: 0.00028087
node: TIA, pagerank: 0.000280815
node: KOJ, pagerank: 0.000280166
node: OSS, pagerank: 0.0002797
node: YRB, pagerank: 0.000279627
node: MGF, pagerank: 0.00027924
node: POZ, pagerank: 0.000279134
node: KOE, pagerank: 0.000278892
node: SCW, pagerank: 0.000277962
node: PHO, pagerank: 0.000277386
node: APL, pagerank: 0.000276625
node: BDO, pagerank: 0.000276126
node: PNR, pagerank: 0.000276122
node: YGT, pagerank: 0.000276064
node: BHY, pagerank: 0.000275578
node: YNA, pagerank: 0.000275515
node: CEK, pagerank: 0.000275332
node: LEX, pagerank: 0.00027519
node: VDS, pagerank: 0.000275036
node: ZKE, pagerank: 0.000274838
node: ILO, pagerank: 0.000274541
node: RGL, pagerank: 0.000273988
node: NAT, pagerank: 0.000273698
node: BDS, pagerank: 0.000273626
node: DRS, pagerank: 0.000273435
